Id,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Album,Release_date,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,Genre_new,country_chart,date_chart,position_chart
000xQL6tZNLJzIrtIgxqSl,12405.55,still got time,ZAYN - PARTYNEXTDOOR,single,dance pop,13407533,Still Got Time (feat. PARTYNEXTDOOR),2017-03-23,0.748,0.627,7,-6.029,1,0.0639,0.131,0.0,0.0852,0.524,120.963,pop,Australia,2017-04-05,20.0
003eoIwxETJujVWmNFMoZy,934.4,growing pains,Alessia Cara,single,canadian contemporary r&b,7910658.0,Growing Pains,2018-06-15,0.353,0.755,1,-6.276,0,0.733,0.0822,0.0,0.39,0.4370000000000001,191.153,r&b/soul,Taiwan,2018-06-18,20.0
006LuHbY5Tt9dhbdSOnVq6,4450.65,rbb,Red Velvet,single,k-pop,4250504.0,RBB,2018-11-28,0.7190000000000001,0.85,2,-3.229,1,0.0317,0.012,0.000239,0.114,0.3670000000000001,150.059,k-pop,Taiwan,2018-12-12,39.0
00lNx0OcTJrS3MKHcB80HY,4182.200000000002,you dont know me - radio edit,Jax Jones - RAYE,single,dance pop,820410,You Don't Know Me,2016-12-09,0.8759999999999999,0.669,11,-6.053999999999999,0,0.138,0.163,0.0,0.185,0.682,124.007,pop,Germany,2017-04-12,2.0
017PF4Q3l4DBUiWoXk4OWT,10568.799999999996,break my heart,Dua Lipa,album,dance pop,20575026.0,Future Nostalgia,2020-03-27,0.73,0.7290000000000001,4,-3.434,0,0.0883,0.1669999999999999,1.39e-06,0.349,0.467,113.013,pop,Ireland,2020-04-02,4.0
01TdkJ0lorIzBsdks8X1Tb,34824.099999999984,perlahan,Guyon Waton,single,dangdut,246625.0,Perlahan,2020-02-03,0.659,0.537,11,-9.644,1,0.0343,0.675,3.92e-05,0.3,0.398,127.962,else,Indonesia,2020-06-18,6.0
01beCqR9wsVnwzkAJZyTqq,67638.05000000003,i love you but im letting go,Pamungkas,album,indonesian pop,478118.0,Walk The Talk,2018-07-15,0.393,0.319,6,-9.116,1,0.0303,0.972,2.94e-05,0.111,0.131,79.628,pop,Indonesia,2020-01-21,16.0
01dmH2IPkrLNWIMPNXlreE,2402.95,paradise,BTS,album,k-pop,24755789.0,Love Yourself 轉 'Tear',2018-05-18,0.519,0.828,5,-5.523,1,0.365,0.214,0.0,0.0571,0.929,139.41299999999998,k-pop,Malaysia,2018-05-19,8.0
01iyINEYgPQ7ThMZuHUsqS,2352.7999999999997,first love,Lost Kings - Sabrina Carpenter,single,dance pop,270333,First Love,2017-10-13,0.619,0.938,5,-5.245,1,0.35,0.0257,1.39e-05,0.128,0.601,94.38,pop,Malaysia,2017-12-26,92.0
01k24g94i1JvkFLQmVEdCd,884.6500000000003,if youre over me,Years & Years,single,dance pop,1491082.0,If You're Over Me,2018-05-10,0.647,0.853,8,-4.516,1,0.0904,0.0615,0.0,0.062,0.618,103.846,pop,UK,2018-06-28,11.0
01uk7IzZyFNfQTDBXxx6NB,128.0,one last song,Sam Smith,album,pop,14303985,The Thrill Of It All (Special Edition),2017-11-03,0.672,0.53,1,-6.43,1,0.0284,0.3670000000000001,0.0,0.321,0.485,103.326,pop,UK,2017-11-03,21.0
028XrbNPgtmnSSScHuWuG1,118.4,jekyll,EXO,album,k-pop,6731265.0,OBSESSION - The 6th Album,2019-11-27,0.721,0.57,11,-3.759,0,0.0567,0.438,0.0,0.0975,0.472,99.988,k-pop,Indonesia,2019-11-28,123.0
02LZ1fGJE8fB56yTlCVMEV,39.2,switch,Iggy Azalea - Anitta,single,australian hip hop,5161174,Switch,2017-05-19,0.914,0.624,11,-6.112,0,0.0531,0.00348,0.00389,0.395,0.346,109.977,hip hop,Brazil,2017-05-19,2.0
02WacdrRpm4zlP8H7X6bnQ,12.0,dancing on my own,Calum Scott,single,neo mellow,2835570.0,Dancing On My Own,2016-06-03,0.608,0.174,1,-8.796,1,0.0332,0.851,1.92e-05,0.0855,0.193,112.175,indie,Netherlands,2017-01-08,16.0
02ZhtvFJezLbTBYreMGcoJ,1517.15,grandmas day,The Legendary Fruitman,single,n-a,8728.0,Grandma's Day,2018-01-28,0.537,0.599,1,-6.404,1,0.261,0.287,0.0,0.0778,0.58,168.183,else,Indonesia,2018-04-06,62.0
02q0ZnV2L4XByzEvWZJqBC,16704.099999999995,spring day,BTS,album,k-pop,24755789.0,YOU NEVER WALK ALONE,2017-02-13,0.539,0.846,8,-3.192,1,0.0354,0.0063,1.68e-06,0.13,0.46,106.992,k-pop,Malaysia,2017-02-14,6.0
02zU2NCUwtt4z8SRHRWsRL,186.4,ya maulana,Sabyan Gambus,single,sholawat,550412.0,Sabyan Gambus,2018-07-13,0.61,0.387,0,-6.442,1,0.028,0.7909999999999999,0.000175,0.0937,0.47,124.008,else,Indonesia,2019-06-05,123.0
03CbQgFxnBFoaaVJTfEqMD,293.6,medicine,Bring Me The Horizon,single,melodic metalcore,3266166.0,medicine,2019-01-03,0.615,0.858,0,-3.3,1,0.0396,0.00393,0.0,0.0789,0.3229999999999999,97.038,metal,UK,2019-01-04,35.0
03iCbZaM4OkRR4We6wIzvx,12548.500000000002,idol,BTS - Nicki Minaj,album,k-pop,24755789,Love Yourself 結 'Answer',2018-08-24,0.7090000000000001,0.857,9,-3.394,1,0.0881,0.00219,0.0,0.103,0.446,126.038,k-pop,Indonesia,2018-08-24,1.0
